"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,599",50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,Exynos 850 Processor,16.76 cm (6.6 inch) Full HD+ Display
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,599",50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,Exynos 850 Processor,16.76 cm (6.6 inch) Full HD+ Display
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,599",50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,Exynos 850 Processor,16.76 cm (6.6 inch) Full HD+ Display
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹7,099",13MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,16.51 cm (6.5 inch) HD Display
"APPLE iPhone 13 (Starlight, 128 GB)","₹58,499",12MP + 12MP | 12MP Front Camera,128 GB ROM,A15 Bionic Chip Processor,Brand Warranty for 1 Year,15.49 cm (6.1 inch) Super Retina XDR Display
"POCO C51 (Royal Blue, 64 GB)","₹6,499",8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Helio G36 Processor,16.56 cm (6.52 inch) HD+ Display
"POCO C55 (Forest Green, 128 GB)","₹8,499",50MP Dual Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Mediatek Helio G85 Processor,17.04 cm (6.71 inch) HD+ Display
"POCO C55 (Power Black, 128 GB)","₹8,499",50MP Dual Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Mediatek Helio G85 Processor,17.04 cm (6.71 inch) HD+ Display
"APPLE iPhone 13 (Midnight, 128 GB)","₹58,499",12MP + 12MP | 12MP Front Camera,128 GB ROM,A15 Bionic Chip Processor,Brand Warranty for 1 Year,15.49 cm (6.1 inch) Super Retina XDR Display
"POCO C51 (Power Black, 64 GB)","₹6,499",8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Helio G36 Processor,16.56 cm (6.52 inch) HD+ Display
"APPLE iPhone 13 (Green, 128 GB)","₹58,499",12MP + 12MP | 12MP Front Camera,128 GB ROM,A15 Bionic Chip Processor,Brand Warranty for 1 Year,15.49 cm (6.1 inch) Super Retina XDR Display
"realme C53 (Champion Gold, 64 GB)","₹10,999",108MP + 2MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,T612 Processor,17.12 cm (6.74 inch) HD Display
"APPLE iPhone 13 (Pink, 128 GB)","₹58,499",12MP + 12MP | 12MP Front Camera,128 GB ROM,A15 Bionic Chip Processor,Brand Warranty for 1 Year,15.49 cm (6.1 inch) Super Retina XDR Display
"realme C53 (Champion Black, 64 GB)","₹10,999",108MP + 2MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,T612 Processor,17.12 cm (6.74 inch) HD Display
"Infinix SMART 7 (Azure Blue, 64 GB)","₹6,999",13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"POCO C50 (Royal Blue, 32 GB)","₹5,499",8MP Dual Camera | 5MP Front Camera,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",16.56 cm (6.52 inch) HD+ Display
"OPPO A17 (Lake Blue, 64 GB)","₹12,499",50MP + 0.3MP + 0.3MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G35 Processor,16.66 cm (6.56 inch) HD+ Display
"Infinix Smart 7 HD (Green Apple, 64 GB)","₹5,999",8MP + AI Lens | 5MP Front Camera,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"Infinix Smart 7 HD (Silk Blue, 64 GB)","₹5,999",8MP + AI Lens | 5MP Front Camera,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"Infinix Smart 7 HD (Jade White, 64 GB)","₹5,999",8MP + AI Lens | 5MP Front Camera,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"Infinix Smart 7 HD (Ink Black, 64 GB)","₹5,999",8MP + AI Lens | 5MP Front Camera,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,900",64MP Rear Camera | 16MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,12 Months,16.74 cm (6.59 inch) Display
"Infinix SMART 7 (Emerald Green, 64 GB)","₹6,999",13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,16.76 cm (6.6 inch) HD+ Display
"POCO C50 (Country Green, 32 GB)","₹5,499",8MP Dual Camera | 5MP Front Camera,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",16.56 cm (6.52 inch) HD+ Display
